"Writing Alphabet Letters For Children | Alphabet for Kids | Periwinkle | Part 2","9,015,987 views","1 year ago","Sw2KZki-eaA"
"How to Write Alphabet Capital Letters | ABC Songs for Children | Children Songs","5,160,885 views","3 years ago","GOSklryxfjM"
"Cursive Writing A to Z - Improve Your Handwriting | small & capital letters for kids and beginners","1,766,041 views","11 months ago","zLtt59Rc1zA"
"Learn Alphabet Train - learning alphabet abc for kids","1,555,599 views","6 years ago","RDy_8oyasWs"
"Letter School  : A-Z  : Uppercase and Lowercase :  HW Style : Education app for kids","1,189,196 views","10 months ago","xFeeyD_PdOk"
"ABCD Capital Letters - Alphabet | English alphabet for kids","1,047,282 views","1 year ago","KfJks1ZyKtY"
"Cursive Writing For Children | Writing Capital Cursive Letters | Cursive Handwriting Practice","578,009 views","1 year ago","d-fXuAEY6LE"
"How to Write Capital and Small Letters | Alphabets with Phonics  | Uppercase and Lowercase letters","310,713 views","4 months ago","4YiXoJKtLVY"
"Cursive small abc/Small Cursive abc Cursive Writing for kids a-z abcdefghijklmnopqrstuvwxyz ABC song","302,739 views","1 year ago","eQU2QqIIKDY"
"English Alphabets for Kids - Small & Capital Letters","221,890 views","5 years ago","dktvatnFAxM"
"ABC Songs for Children Writing English Alphabet Capital Letters "Kids Learning"","116,792 views","2 years ago","JXEof1hgOQU"
"Phonics Alphabet - Letter A to Z - Upper Case (Capital letter) | Learn English for kids","109,485 views","2 years ago","H5PLrI75dik"
"Learn english capital letters and small letters | English Alphabets for Kids | Easy to learn ABCD","100,915 views","2 years ago","_0vhmlZ_JBA"
"Learn abcd for kids Learn to Write ABCD Capital Letters ABCEDEFGHIJKLMNOPQRSTUVXYZ ABC Song Phonics","59,748 views","1 year ago","nsBFBkfMCqM"
"How to Draw Block Letters Alphabet - Hand Lettering - Art for Kids | BP","57,412 views","1 year ago","0oOicMwjLpQ"
"How to write Cursive step by step easy method. Cursive capital letters A to Z","52,639 views","1 year ago","90VVZfNlUtk"
"Learn New ABC alphabet capital and small letters with kids lovers","43,036 views","4 years ago","pr-vZwi2520"
"Cursive writing for kids Cursive Capital Letters Cursive ABCD cursive writing capital letters a to z","30,671 views","1 year ago","T0sOIGtREvs"
"How to draw PICTURES from LETTERS  A-Z | STEP BY STEP | Kids Drawing | TADA-DADA Art Club","30,129 views","1 year ago","rMjwJBzvwq0"
"Letter School  A-Z  Capital Letter  : App android","25,266 views","1 year ago","rj-u_EqzB0c"
"Letter School Lowercase Block letters a-z Part 1 ABC Learn Alphabet Educational App","24,234 views","9 months ago","QuYWcm_8Aqk"
"Cursive Writing For Beginners Writing Cursive Capital Letters Cursive Handwriting Practice a-z abcd","22,409 views","1 year ago","hmpQBXJ0pdk"
"How to write English capital letters A-Z","22,268 views","3 years ago","ybMMyBfiYgM"
"Recognize the Letters A-Z | Simple Learning Video for Babies, Toddlers, Kids (Teach the Alphabet)","14,802 views","1 year ago","qyNVWtgi0ok"
"LetterSchool - Upper Case Letters A-Z - D'Nealian Style  - Education games for kids","11,491 views","6 months ago","bGk3ME9M1ho"
"How to write Capital and Small Alphabets For Kids Children Toddler Babies ABCDEFGHIJKLMNOPQRSTUVWXYZ","11,321 views","4 months ago","TfBJDmvDxO8"
"CAPITAL LETTERS ABC - Learn CAPITAL LETTERS ABC","9,008 views","5 years ago","ADe1xe9cVj0"
"English Capital Letters Alphabet | Pre School | 3D Animated Educational Video For Kids","8,053 views","4 years ago","h65f-IcHV0A"
"Letter School Cursive Uppercase A-Z - ABC Learn Alphabet - Educational App for Kids","7,259 views","6 months ago","GUBTr557B2A"
"Writing Alphabet Letters A Z For Children  ABC Alphabet for Kids","5,778 views","7 months ago","rO4JTvN7p3A"
"LetterSchool Cursive - Learn to Write A-Z Uppercase Alphabet -  Educatiion App for kids","5,702 views","6 months ago","skLzAL5bvlg"
"A-Z | Introductory Animation to Capital Alphabets | Lessons for Nursery Kids | Baby School Tutorial","4,918 views","3 months ago","j4yY9-7aFLE"
"A-Z Alphabet Tracing (Uppercase Letters & Lowercase Letters) by KidloLand","4,388 views","1 year ago","638a_A7Kluk"
