"Impractical Jokers - The Wedding Of The Century (Punishment) | truTV","Sal must watch a shocking wedding while gagged and strapped to a hand truck. New episodes premiere Thursday, July 16 at ...","6,642,562 views","3 years ago","https://www.youtube.com/watch?v=QI5Oie5P3Gg"
"Impractical Jokers - Public Speaking On Anesthetic (Punishment) | truTV","In a painless punishment, Murr must lead a food seminar while pumped full of Novocaine. New episodes premiere Thursday, July ...","5,140,501 views","4 years ago","https://www.youtube.com/watch?v=k9bT0eDtQE8"
"Impractical Jokers - Can You Hold This? (FULL Challenge)","I do not own the content of this video. All the content & rights are owned by truTV & Impractical Jokers respectively. Its for fair use ...","5,058,419 views","1 year ago","https://www.youtube.com/watch?v=0X9Kn27Kxh4"
"The Untold Truth Of Impractical Jokers","If you're new, Subscribe! → http://bit.ly/subscribe-to-looper One of the best things on TV is Impractical Jokers, a hidden camera ...","4,702,378 views","2 years ago","https://www.youtube.com/watch?v=ui8nIZN0R4Y"
"Impractical Jokers - Sal Can't Stop Laughing | truTV","Sal loses it during a focus group in which he and Joe have written each other's answers. Subscribe: http://full.sc/1s9KQGe Watch ...","4,631,945 views","2 years ago","https://www.youtube.com/watch?v=ZxTVQ8oEAVM"
"Impractical Jokers – Q Versus Women's Rights (Punishment) | truTV","Q endures the wrath of a roomful of feminists as he disagrees with experts on a women's issues panel. Subscribe: ...","4,627,706 views","2 years ago","https://www.youtube.com/watch?v=ae4JmMbu9oo"
"Impractical Jokers - Elevator To Hell (Punishment) | truTV","Sal gets trapped in an elevator with some terrifying characters. New episodes premiere Thursday, July 16 at 10/9c on truTV New ...","4,338,576 views","3 years ago","https://www.youtube.com/watch?v=fnDxxEdXarc"
"Impractical Jokers - Joe Works as a Bouncer at Hot Club","Do or do not, there is no try. New episodes premiere Thursday, July 16 at 10/9c on truTV New episodes Thursdays at 10/9c on ...","4,167,784 views","6 years ago","https://www.youtube.com/watch?v=AQPKaRgrji4"
"Impractical Jokers - Welcome to Q Falls","In the triple punishment Joe, Murr and Sal compete to see who is actually Q's best friend. The 2 losers have to jump off a cliff into ...","4,105,286 views","5 years ago","https://www.youtube.com/watch?v=rpP0td_Tsjc"
"Impractical Jokers - Family Feuding","Sal's relationship with his sister is still tense ever since she was involved in an epic prank at a travel agency. New episodes ...","3,943,010 views","4 years ago","https://www.youtube.com/watch?v=ZytGaHw7-yw"
"Impractical Jokers - Home Intruders Destroy Murr's Apartment (Punishment) | truTV","Murr watches a live feed of his best friends demolishing his most prized possessions. New episodes premiere Thursday, July 16 ...","3,941,166 views","4 years ago","https://www.youtube.com/watch?v=tkdYkyhlfRs"
"Impractical Jokers - Sal Gets Accidentally Kidnapped (Punishment) | truTV","Sal must ride out his punishment in the trunk of a rental car. New episodes premiere Thursday, July 16 at 10/9c on truTV New ...","3,938,858 views","4 years ago","https://www.youtube.com/watch?v=3IyMRWDiEA0"
"Impractical Jokers - Murr Braves The Wheel Of Piercing (Punishment) | truTV","Murr answers trivia questions and must get different body parts pierced for every wrong answer. New episodes premiere Thursday ...","3,849,736 views","4 years ago","https://www.youtube.com/watch?v=dWeV7SEOOnM"
"Impractical Jokers - The Fire Academy (Punishment) | truTV","The only way to teach the Jokers what it means to be a fireman is to put them through the fire academy. Subscribe to truTV on ...","3,795,617 views","1 year ago","https://www.youtube.com/watch?v=q6DK59nNcEg"
"Impractical Jokers - Hard Drive Unleashes Dirty Secrets (Punishment) | truTV","Murr is at the mercy of the others as they take control of his screen during a fake computer class. New episodes premiere ...","3,784,177 views","4 years ago","https://www.youtube.com/watch?v=UDraoEYv8ng"
"Impractical Jokers - Sal's Haunted Corn Maze (Punishment) | truTV","For his punishment, Sal must cross through a terrifyingly hilarious corn maze. New episodes premiere Thursday, July 16 at 10/9c ...","3,710,690 views","4 years ago","https://www.youtube.com/watch?v=wq70U0UJgvI"
"Impractical Jokers - Airline Ticket To Embarrassment","Joe braves a crowded airport to accomplish everything on his punishment itinerary. New episodes premiere Thursday, July 16 at ...","3,672,047 views","4 years ago","https://www.youtube.com/watch?v=VI4ixTBo-c4"
"Impractical Jokers - Creepy Cat Attack (Punishment) | truTV","It's Sal's turn in the warehouse, and this time he's getting covered with kitty cats. Subscribe to truTV on YouTube: ...","3,647,217 views","1 year ago","https://www.youtube.com/watch?v=3ig2FnAQ5K8"
"Impractical Jokers - 10 Times The Guys Said No","The Jokers don't always do what they're told. Subscribe to truTV on YouTube: http://full.sc/1s9KQGe Watch Full Episodes for Free: ...","3,593,563 views","3 years ago","https://www.youtube.com/watch?v=8jGJ3oV1xjw"
"Impractical Jokers - Bathroom of Horrors (Punishment) | truTV","Sal fight his way through a germ-infested bathroom before an everyday hero saves the day. Subscribe to truTV on YouTube: ...","3,587,211 views","3 years ago","https://www.youtube.com/watch?v=_kQVxflQP8o"
